起__點	0	0	0	0	0	0	0	0
滑__鼠	1500	750	1125	1688	500	1000	2000	2500
鍵__盤	1800	900	1350	2025	600	1200	2400	3000
顯示器	3000	1500	2250	3375	1000	2000	4000	5000
不斷電	3500	1750	2625	3938	1167	2333	4667	5833
監__獄	0	0	0	0	0	0	0	0
音效卡	2000	1000	1500	2250	667	1333	2667	3333
記憶體	2500	1250	1875	2813	833	1667	3333	4167
網路卡	2800	1400	2100	3150	933	1867	3733	4667
顯示卡	5000	2500	3750	5625	1667	3333	6667	8333
機__運	0	0	0	0	0	0	0	0
光碟機	2500	1667	2083	2404	758	1629	3759	5763
電供器	2800	1867	2333	2692	848	1824	4210	6455
磁碟機	3000	2000	2500	2885	909	1955	4510	6916
風__扇	3100	2067	2583	2981	939	2020	4661	7147
醫__院	0	0	0	0	0	0	0	0
主機板	3300	2200	2750	3173	1000	2150	4962	7608
H.H.D.	3500	2333	2917	3365	1061	2280	5262	8069
S.S.D.	5000	3333	4167	4808	1515	3258	7517	11527
處理器	7000	4667	5833	6731	2121	4561	10524	16138
